country,location_name,latitude,longitude,temperature_celsius,condition_text,wind_kph,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset,Year,Month
Afghanistan,Kabul,0.5713646173685865,0.39938106512979005,0.54065040650406,Partly Cloudy,0.03611317944899479,0.35849056603773555,0.0,0.2164948453608248,0.3,0.494140625,0.3125,0.4375,0.042422044960116034,0.0,04:50 AM,06:50 PM,2024,5
Albania,Tirana,0.6851217083943044,0.10930676591250875,0.3861788617886184,Partly cloudy,0.02829486224869694,0.35849056603773555,0.0035945363048166794,0.9381443298969074,0.75,0.37109375,0.3125,0.3125,0.05366207396664251,0.0,05:21 AM,07:54 PM,2024,5
Algeria,Algiers,0.6087825151509078,0.010754375355908117,0.4674796747967527,Sunny,0.042814594192107217,0.34905660377358494,0.0,0.2680412371134021,0.0,0.48046875,0.3125,0.3125,0.06780275562001452,0.0,05:40 AM,07:50 PM,2024,5
Andorra,Andorra La Vella,0.7046658782181063,0.001763012353427561,0.1280487804878092,Light drizzle,0.03090096798212956,0.31132075471698073,0.010783608914450037,0.597938144329897,1.0,0.07421875,0.0625,0.125,0.03662073966642495,0.0,06:31 AM,09:11 PM,2024,5
Armenia,Yerevan,0.6659116269435591,0.254402682599597,0.3861788617886184,Partly cloudy,0.011913626209977664,0.40566037735849036,0.004672897196261683,0.38144329896907225,0.25,0.37109375,0.3125,0.25,0.022842639593908635,0.0,05:45 AM,08:12 PM,2024,5
Austria,Vienna,0.7998810645391919,0.08903212384809181,0.32520325203251943,Partly cloudy,0.06180193596425912,0.36792452830188616,0.0,0.618556701030928,0.75,0.3125,0.3125,0.3125,0.102610587382161,0.0,05:14 AM,08:29 PM,2024,5
Azerbaijan,Baku,0.66958659904718,0.2859606037259503,0.3455284552845548,Partly cloudy,0.011913626209977664,0.4339622641509422,0.0,0.6701030927835052,0.5,0.33203125,0.3125,0.3125,0.013778100072516319,0.0,05:23 AM,07:51 PM,2024,5
Bahrain,Manama,0.4330520309232198,0.29007429921728123,0.7317073170731696,Sunny,0.06850335070737155,0.31132075471698073,0.0,0.309278350515464,0.0,0.88671875,0.3125,0.5,0.0928208846990573,0.19999999999999996,04:50 AM,06:18 PM,2024,5
Bangladesh,Dhaka,0.3909568959181083,0.5241435726740138,0.7804878048780495,Partly Cloudy,0.011913626209977664,0.3018867924528301,0.0,0.288659793814433,0.3,0.806640625,0.3125,0.5625,0.015591007976794783,0.39999999999999997,05:16 AM,06:34 PM,2024,5
Belarus,Minsk,0.8950962508602776,0.1548512517093874,0.3455284552845548,Sunny,0.057706626954579315,0.5,0.0,0.2680412371134021,0.0,0.33203125,0.3125,0.25,0.08230601885424223,0.0,05:05 AM,09:08 PM,2024,5
Belgium,Brussels,0.8438136855961139,0.01827656139719904,0.30487804878048763,Partly cloudy,0.00930752047654505,0.2735849056603765,0.008986340762041698,0.9381443298969074,0.5,0.28515625,0.3125,0.1875,0.038433647570703416,0.0,05:52 AM,09:28 PM,2024,5
Benin,Porto-Novo,0.10297271834345623,0.00822739098266195,0.5691056910569117,Moderate or heavy rain with thunder,0.07632166790766941,0.35849056603773555,0.0007189072609633358,0.7835051546391755,0.75,0.609375,0.3125,0.4375,0.10043509789702686,0.0,06:33 AM,06:59 PM,2024,5
Bhutan,Thimphu,0.4537655100527192,0.5193834393197593,0.36991869918699294,Patchy light rain in area with thunder,0.029411764705882353,0.35849056603773555,0.005751258087706686,0.48453608247422686,0.77,0.35546875,0.3125,0.25,0.03734590282813634,0.0,05:12 AM,06:44 PM,2024,5
Bosnia and Herzegovina,Sarajevo,0.7272168433994161,0.10084430661605645,0.3861788617886184,Partly cloudy,0.0,0.35849056603773555,0.0,0.6288659793814434,0.25,0.37109375,0.3125,0.3125,0.027556200145032635,0.0,05:20 AM,08:07 PM,2024,5
Brunei Darussalam,Bandar Seri Begawan,0.07624564849894094,0.6682404490274931,0.6504065040650353,Patchy light rain with thunder,0.02829486224869694,0.3018867924528301,0.0,0.8350515463917528,0.75,0.771484375,0.3125,0.5,0.05366207396664251,0.0,06:06 AM,06:27 PM,2024,5
Bulgaria,Sofia,0.7076726735756143,0.12987524336916365,0.24390243902439224,Overcast,0.06180193596425912,0.4433962264150928,0.0,0.7628865979381445,1.0,0.212890625,0.3125,0.1875,0.08629441624365483,0.0,06:03 AM,08:44 PM,2024,5
Cambodia,Phnom Penh,0.187664120913264,0.6094146035014602,0.7723577235772403,Partly cloudy,0.02829486224869694,0.29245283018867774,0.0,0.4329896907216496,0.5,0.828125,0.3125,0.5625,0.043872371283538804,0.19999999999999996,05:37 AM,06:17 PM,2024,5
Cameroon,Yaounde,0.059374185659590684,0.06053009080101291,0.5081300813008092,Partly Cloudy,0.0,0.37735849056603676,0.0,0.77319587628866,0.25,0.52734375,0.3125,0.375,0.0018129079042784602,0.19999999999999996,06:01 AM,06:19 PM,2024,5
Central African Republic,Bangui,0.0677263949860017,0.10201964818500815,0.5772357723577208,Sunny,0.014892032762472075,0.36792452830188616,0.0,0.5876288659793816,0.07,0.591796875,0.3125,0.4375,0.01849166062364032,0.0,05:33 AM,05:52 PM,2024,5
Chad,N'djamena,0.1970185953588443,0.08127486949301053,0.7560975609756078,Sunny,0.04020848845867461,0.33962264150943255,0.0,0.2474226804123712,0.02,0.740234375,0.3125,0.5625,0.04713560551124004,0.0,05:36 AM,06:17 PM,2024,5
China,Beijing,0.6617355222803536,0.6768204424808405,0.5894308943089399,Sunny,0.042814594192107217,0.2547169811320753,0.0,0.19587628865979387,0.0,0.525390625,0.3125,0.5,0.06780275562001452,0.6,04:58 AM,07:24 PM,2024,5
Bulgaria,Bogot,0.7183635015134203,0.1379851001949304,0.3231707317073216,Overcast,0.038719285182427406,0.4339622641509422,0.0,0.6082474226804124,1.0,0.310546875,0.3125,0.25,0.04786076867295143,0.0,05:56 AM,08:40 PM,2024,5
Croatia,Zagreb,0.759790459772419,0.08685774194553114,0.32520325203251943,Partly cloudy,0.042814594192107217,0.35849056603773555,0.0,0.8144329896907219,0.75,0.3125,0.3125,0.1875,0.06780275562001452,0.0,05:23 AM,08:22 PM,2024,5
Cyprus,Nicosia,0.5822224894929208,0.1889361572089869,0.5081300813008092,Partly cloudy,0.020104244229337306,0.415094339622641,0.0,0.37113402061855677,0.25,0.490234375,0.3125,0.4375,0.045685279187817264,0.0,05:42 AM,07:45 PM,2024,5
Czech Republic,Prague,0.8312853716064974,0.07786637894305058,0.36585365853659013,Sunny,0.10201042442293372,0.34905660377358494,0.0,0.47422680412371143,0.0,0.3515625,0.3125,0.25,0.1236403190717912,0.0,05:14 AM,08:44 PM,2024,5
Denmark,Copenhagen,0.9246630718757727,0.06675940111645695,0.32520325203251943,Sunny,0.10201042442293372,0.40566037735849036,0.0,0.5360824742268042,0.0,0.3125,0.3125,0.25,0.15445975344452503,0.0,04:56 AM,09:17 PM,2024,5
Djibouti,Djibouti,0.18849934184590506,0.24641035993072538,0.646341463414629,Sunny,0.034996276991809384,0.33962264150943255,0.0,0.6701030927835052,0.06,0.765625,0.3125,0.5,0.040971718636693265,0.0,05:44 AM,06:24 PM,2024,5
Egypt,Cairo,0.4966958659904719,0.1764775365780988,0.5487804878048763,Sunny,0.042814594192107217,0.4245283018867916,0.0,0.2989690721649485,0.0,0.501953125,0.3125,0.4375,0.05910079767947789,0.0,06:01 AM,07:43 PM,2024,5
Equatorial Guinea,Malabo,0.05736965542125204,0.04442791130637452,0.6097560975609788,Partly cloudy,0.00930752047654505,0.35849056603773555,0.007189072609633359,0.8865979381443301,0.5,0.697265625,0.3125,0.375,0.03517041334300219,0.0,06:12 AM,06:30 PM,2024,5
Eritrea,Asmara,0.2508068234209313,0.22161065282584436,0.45934959349593996,Patchy rain nearby,0.004095309009679821,0.38679245283018737,0.005391804457225018,0.4020618556701032,0.8,0.474609375,0.3125,0.3125,0.0145032632342277,0.0,05:55 AM,06:46 PM,2024,5
Estonia,Tallinn,0.9874716860103835,0.13816140143027317,0.3861788617886184,Sunny,0.06850335070737155,0.4716981132075464,0.0,0.41237113402061865,0.0,0.37109375,0.3125,0.25,0.10551124002900655,0.0,04:44 AM,09:52 PM,2024,5
Ethiopia,Addis Ababa,0.14556898590815243,0.2202590100215499,0.45325203252032154,Patchy rain nearby,0.02680565897244974,0.396226415094338,0.0017972681524083397,0.463917525773196,0.72,0.4765625,0.3125,0.3125,0.03263234227701233,0.0,06:05 AM,06:38 PM,2024,5
Finland,Helsinki,1.0,0.13933674299922488,0.44715447154471377,Sunny,0.07632166790766941,0.4528301886792452,0.0,0.309278350515464,0.0,0.47265625,0.3125,0.3125,0.11820159535895579,0.0,04:38 AM,09:57 PM,2024,5
France,Paris,0.8110730250365826,0.006523145707681975,0.30487804878048763,Partly cloudy,0.04951600893521965,0.3018867924528301,0.0003594536304816679,0.7113402061855671,0.5,0.2890625,0.3125,0.25,0.07432922407541699,0.0,06:07 AM,09:28 PM,2024,5
Gabon,Libreville,0.0010757645612417396,0.048365305562362744,0.5894308943089399,Partly cloudy,0.042814594192107217,0.35849056603773555,0.0,0.7422680412371135,0.25,0.67578125,0.3125,0.4375,0.06780275562001452,0.39999999999999997,06:14 AM,06:22 PM,2024,5
Georgia,Tbilisi,0.6918034758554332,0.25604816079612935,0.32520325203251943,Overcast,0.020104244229337306,0.4339622641509422,0.0007189072609633358,0.6701030927835052,1.0,0.3125,0.3125,0.1875,0.045685279187817264,0.0,05:40 AM,08:15 PM,2024,5
Germany,Berlin,0.8720441531193832,0.07157830154915895,0.44715447154471377,Sunny,0.10982874162323157,0.34905660377358494,0.0,0.3608247422680413,0.0,0.466796875,0.3125,0.375,0.13306744017403915,0.0,05:08 AM,08:58 PM,2024,5
Greece,Athens,0.6291619059073505,0.13222592650706705,0.4674796747967527,Partly cloudy,0.0,0.4339622641509422,0.0,0.3608247422680413,0.25,0.48046875,0.3125,0.375,0.01414068165337201,0.0,06:14 AM,08:30 PM,2024,5
Vatican City,Vatican City,0.694643227026413,0.06599542909663834,0.4878048780487809,Sunny,0.0,0.3018867924528301,0.0,0.5567010309278352,0.0,0.490234375,0.3125,0.4375,0.03807106598984772,0.39999999999999997,05:49 AM,08:25 PM,2024,5
Hungary,Budapest,0.7881879714822165,0.10495800210738741,0.4065040650406502,Partly cloudy,0.0979151154132539,0.40566037735849036,0.0,0.41237113402061865,0.75,0.390625,0.3125,0.25,0.12146482958665704,0.0,05:05 AM,08:16 PM,2024,5
India,New Delhi,0.4724744589438799,0.44651226204475347,0.853658536585364,Mist,0.02829486224869694,0.32075471698113134,0.0,0.10309278350515466,0.0,0.83984375,0.125,0.625,0.05366207396664251,0.19999999999999996,05:30 AM,07:06 PM,2024,5
Iran,Tehran,0.591576963938501,0.29448183010085016,0.4878048780487809,Partly cloudy,0.057706626954579315,0.415094339622641,0.0,0.22680412371134023,0.25,0.453125,0.3125,0.375,0.07106598984771574,0.19999999999999996,04:59 AM,07:04 PM,2024,5
Iraq,Baghdad,0.5516534033582564,0.2536974776582259,0.6707317073170778,Partly cloudy,0.06850335070737155,0.35849056603773555,0.0,0.1443298969072165,0.5,0.603515625,0.3125,0.5,0.08593183466279915,0.0,05:02 AM,06:57 PM,2024,5
Israel,Jerusalem,0.525594510259854,0.19986683380023776,0.5081300813008092,Partly cloudy,0.034996276991809384,0.415094339622641,0.0,0.5257731958762888,0.25,0.48828125,0.3125,0.375,0.043872371283538804,0.0,05:42 AM,07:30 PM,2024,5
Italy,Rome,0.694643227026413,0.06617173033198111,0.4878048780487809,Sunny,0.0,0.3018867924528301,0.0,0.5567010309278352,0.0,0.490234375,0.3125,0.4375,0.03807106598984772,0.39999999999999997,05:49 AM,08:25 PM,2024,5
Japan,Tokyo,0.5909087871923882,0.8137477352637144,0.4878048780487809,Partly cloudy,0.10982874162323157,0.2547169811320753,0.0,0.4536082474226805,0.25,0.494140625,0.3125,0.375,0.1762146482958666,0.19999999999999996,04:35 AM,06:40 PM,2024,5
Jordan,Amman,0.5284342614308337,0.20398052929156876,0.4674796747967527,Mist,0.042814594192107217,0.4339622641509422,0.0,0.2680412371134021,0.0,0.45703125,0.15625,0.375,0.05148658448150835,0.0,05:39 AM,07:28 PM,2024,5
Kazakhstan,Astana,0.8496602321246016,0.41260365778049674,0.32520325203251943,Sunny,0.06850335070737155,0.4528301886792452,0.0,0.3195876288659794,0.0,0.3125,0.3125,0.3125,0.0928208846990573,0.0,04:22 AM,08:00 PM,2024,5
Kuwait,Kuwait City,0.48533686130655285,0.2746773246640139,0.617886178861788,Partly cloudy,0.09121370067014148,0.32075471698113134,0.0,0.42268041237113413,0.5,0.63671875,0.40625,0.5,0.11493836113125454,0.19999999999999996,04:55 AM,06:34 PM,2024,5
Kyrghyzstan,Bishkek,0.7108465131196504,0.4312328216483812,0.45731707317073145,Patchy rain nearby,0.034996276991809384,0.415094339622641,0.0017972681524083397,0.577319587628866,0.79,0.482421875,0.3125,0.3125,0.040971718636693265,0.0,05:38 AM,08:19 PM,2024,5
Latvia,Riga,0.9460447277513849,0.13445907548807529,0.3455284552845548,Sunny,0.020104244229337306,0.4905660377358476,0.0,0.463917525773196,0.0,0.33203125,0.3125,0.3125,0.029006526468455404,0.0,05:03 AM,09:39 PM,2024,5
Lebanon,Beirut,0.560506745244252,0.20151231199677017,0.44715447154471377,Partly cloudy,0.020104244229337306,0.4339622641509422,0.0,0.6391752577319588,0.25,0.478515625,0.3125,0.375,0.03045685279187818,0.0,05:36 AM,07:34 PM,2024,5
Thailand,Nan,0.30843706777316743,0.5850850330241598,0.6707317073170778,Patchy light rain with thunder,0.02829486224869694,0.31132075471698073,0.0,0.618556701030928,0.75,0.681640625,0.3125,0.5625,0.03045685279187818,0.0,05:43 AM,06:44 PM,2024,5
Liechtenstein,Vaduz,0.7820073365806725,0.04877667511149584,0.30487804878048763,Partly cloudy,0.020104244229337306,0.3018867924528301,0.0,0.7113402061855671,0.25,0.30859375,0.3125,0.25,0.045685279187817264,0.0,05:45 AM,08:53 PM,2024,5
Lithuania,Vilnius,0.9081256974094788,0.1416286590586807,0.3455284552845548,Sunny,0.034996276991809384,0.5,0.0,0.37113402061855677,0.0,0.33203125,0.3125,0.3125,0.060188542422044966,0.0,05:11 AM,09:21 PM,2024,5
Luxembourg,Luxembourg,0.823434294839671,0.02885463551776441,0.2845528455284594,Partly cloudy,0.04951600893521965,0.29245283018867774,0.011143062544931704,0.8762886597938147,0.75,0.255859375,0.3125,0.1875,0.07432922407541699,0.0,05:49 AM,09:16 PM,2024,5
Malaysia,Kuala Lumpur,0.047681092602615244,0.5904916042413376,0.5894308943089399,Partly cloudy,0.02829486224869694,0.32075471698113134,0.06685837526959024,0.8350515463917528,0.25,0.697265625,0.3125,0.375,0.04314720812182742,0.39999999999999997,07:02 AM,07:18 PM,2024,5
Maldives,Felidhoo,0.05285946238499008,0.42494474425448964,0.5995934959349576,Patchy rain nearby,0.06701414743112435,0.33018867924528195,0.0014378145219266715,0.7525773195876291,0.89,0.685546875,0.3125,0.375,0.09572153734590284,0.0,05:54 AM,06:11 PM,2024,5
Malta,Valletta,0.5944167151094808,0.07810144725684093,0.5691056910569117,Sunny,0.042814594192107217,0.29245283018867774,0.0,0.4329896907216496,0.0,0.626953125,0.3125,0.375,0.10696156635242932,0.19999999999999996,05:56 AM,08:02 PM,2024,5
Marshall Islands,Majuro,0.11332945790820588,0.9999806068641124,0.5894308943089399,Partly cloudy,0.02829486224869694,0.33962264150943255,0.009705248023005033,0.7835051546391755,0.75,0.68359375,0.75,0.0625,0.14213197969543148,0.0,06:17 AM,06:44 PM,2024,5
Micronesia,Palikir,0.11032266255069792,0.922231762077957,0.5487804878048763,Overcast,0.0,0.33962264150943255,0.025161754133716754,0.8865979381443301,1.0,0.59375,0.75,0.0625,0.06635242929659174,0.0,06:10 AM,06:37 PM,2024,5
Iran,Chi Chi Khvar,0.6004303058244967,0.26662623491669474,0.3231707317073216,Thundery outbreaks in nearby,0.07371556217423678,0.396226415094338,0.0,0.3195876288659794,0.44,0.310546875,0.28125,0.25,0.12110224800580134,0.0,05:17 AM,07:24 PM,2024,5
Monaco,Monaco,0.7252123131610774,0.036435588637502916,0.32520325203251943,Partly cloudy,0.06180193596425912,0.3018867924528301,0.013299784327821713,0.8144329896907219,0.5,0.3125,0.3125,0.25,0.08629441624365483,0.0,06:04 AM,08:50 PM,2024,5
Mongolia,Ulaanbaatar,0.7952038273164018,0.6211680191909772,0.5487804878048763,Sunny,0.06850335070737155,0.31132075471698073,0.0,0.1443298969072165,0.0,0.51953125,0.3125,0.3125,0.0928208846990573,0.0,05:13 AM,08:25 PM,2024,5
Montenegro,Podgorica,0.7036636130989369,0.10601580951944398,0.32520325203251943,Partly cloudy,0.0,0.37735849056603676,0.012221423436376711,0.8762886597938147,0.75,0.3125,0.3125,0.3125,0.010877447425670777,0.0,05:20 AM,07:59 PM,2024,5
Myanmar,Pathein,0.27502823046752334,0.5495309505633706,0.7621951219512191,Sunny,0.07632166790766941,0.29245283018867774,0.0,0.3402061855670104,0.13,0.80859375,0.3125,0.5625,0.08846990572878899,0.0,05:40 AM,06:35 PM,2024,5
Turkey,Yaren,0.6553878431922812,0.15514508710162533,0.36585365853659013,Sunny,0.0,0.4339622641509422,0.0,0.5463917525773196,0.0,0.3515625,0.3125,0.3125,0.03589557650471357,0.0,05:54 AM,08:18 PM,2024,5
Nepal,Kathmandu,0.45777457052939646,0.49423112974419275,0.5894308943089399,Light rain,0.057706626954579315,0.40566037735849036,0.0,0.463917525773196,0.5,0.541015625,0.25,0.5,0.08230601885424223,0.19999999999999996,05:14 AM,06:46 PM,2024,5
Netherlands,Amsterdam,0.8695384903214598,0.02156751779026382,0.32520325203251943,Partly cloudy,0.011913626209977664,0.2735849056603765,0.025521207764198424,0.9381443298969074,0.75,0.3125,0.21875,0.25,0.03226976069615664,0.0,05:43 AM,09:32 PM,2024,5
Niger,Niamey,0.22057182565932343,0.005289037060282683,0.6707317073170778,Sunny,0.06180193596425912,0.34905660377358494,0.0,0.3402061855670104,0.0,0.658203125,0.3125,0.5,0.08629441624365483,0.0,06:25 AM,07:11 PM,2024,5
Nigeria,Abuja,0.14807464870607573,0.03502517875476087,0.5934959349593498,Partly Cloudy,0.01340282948622487,0.35849056603773555,0.0,0.6597938144329898,0.32,0.640625,0.3125,0.4375,0.01704133430021755,0.0,06:11 AM,06:44 PM,2024,5
North Korea,Pyongyang,0.6465345013062856,0.7318264279077804,0.3861788617886184,Sunny,0.055100521221146684,0.31132075471698073,0.0,0.2474226804123712,0.04,0.37109375,0.3125,0.3125,0.06635242929659174,0.0,05:24 AM,07:44 PM,2024,5
