country,extreme_count
Kuwait,219
Mongolia,212
Saudi Arabia,188
Iraq,173
Kazakhstan,144
Canada,140
Qatar,130
United Arab Emirates,115
Russia,79
Sudan,54
Finland,50
Bahrain,49
Belarus,46
Oman,45
Lithuania,44
North Korea,43
Djibouti,43
Norway,43
Estonia,42
Latvia,37
Ukraine,36
India,35
Andorra,34
Bulgaria,31
Poland,27
Pakistan,25
Chad,23
Switzerland,21
Germany,20
Sweden,20
Iran,18
Czech Republic,17
Macedonia,16
Niger,14
Liechtenstein,14
Turkmenistan,14
Armenia,14
Tajikistan,14
Uzbekistan,13
Hungary,13
Egypt,13
Romania,12
South Korea,11
Bosnia And Herzegovina,11
Austria,10
Slovenia,10
Syria,9
Kyrghyzstan,8
Iceland,8
Slovakia,8
Turkey,7
Cyprus,6
Madagascar,6
Serbia,6
Bangladesh,6
Croatia,5
Mali,5
Burkina Faso,4
China,3
Jordan,3
Luxembourg,3
Afghanistan,2
Belgium,2
Denmark,2
Montenegro,2
Tunisia,2
Marrocos,1
France,1
San Marino,1
Netherlands,1
Saudi Arabien,1
