country,location_name,latitude,longitude,last_updated,temperature_celsius,humidity,precip_mm,wind_kph,condition_text,uv_index,year,month,month_name
India,New Delhi,28.6,77.2,2024-05-16 14:15:00,42.0,13,0.0,11.2,Mist,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-16 15:00:00,42.0,25,0.0,11.2,Partly cloudy,10.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-16 17:15:00,41.0,7,0.0,15.1,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-17 17:00:00,42.0,5,0.0,22.0,Overcast,10.0,2024,5,May
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-18 14:30:00,40.7,22,0.0,5.4,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-18 15:30:00,43.0,6,0.0,11.2,Overcast,10.0,2024,5,May
India,New Delhi,28.6,77.2,2024-05-18 20:00:00,41.0,15,0.0,11.2,Mist,1.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-18 15:30:00,43.0,15,0.0,4.0,Overcast,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-18 16:30:00,42.5,7,0.0,7.2,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-19 15:00:00,42.2,6,0.0,12.2,Sunny,10.0,2024,5,May
India,New Delhi,28.6,77.2,2024-05-19 19:45:00,41.0,14,0.0,11.2,Mist,1.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-19 15:15:00,42.7,15,0.0,6.5,Sunny,10.0,2024,5,May
Sudan,Juba,12.15,24.45,2024-05-19 16:15:00,40.3,7,0.0,9.7,Sunny,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-19 16:15:00,44.1,9,0.0,7.6,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-20 15:45:00,44.0,11,0.0,11.2,Sunny,10.0,2024,5,May
Egypt,Cairo,30.05,31.25,2024-05-20 17:45:00,41.0,12,0.0,20.2,Sunny,10.0,2024,5,May
Mali,Bamako,12.65,-8.0,2024-05-20 14:45:00,42.0,17,0.0,3.6,Sunny,10.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-20 15:45:00,42.9,12,0.0,6.1,Sunny,10.0,2024,5,May
Sudan,Juba,12.15,24.45,2024-05-20 16:45:00,40.6,10,0.0,6.1,Sunny,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-20 16:45:00,41.6,17,0.0,22.7,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-21 15:45:00,45.0,10,0.0,13.0,Sunny,10.0,2024,5,May
Mali,Bamako,12.65,-8.0,2024-05-21 14:45:00,41.0,25,0.0,3.6,Partly cloudy,10.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-21 15:45:00,42.0,18,0.0,6.1,Partly cloudy,10.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-21 17:45:00,41.0,7,0.0,19.1,Partly cloudy,10.0,2024,5,May
Sudan,Juba,12.15,24.45,2024-05-21 16:45:00,41.0,11,0.0,17.6,Sunny,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-21 16:45:00,41.6,16,0.0,11.5,Sunny,10.0,2024,5,May
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-22 14:15:00,41.5,21,0.0,5.4,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-22 15:15:00,44.0,6,0.0,18.4,Sunny,10.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-22 15:15:00,42.6,17,0.0,4.0,Sunny,10.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-22 17:15:00,41.0,6,0.0,6.1,Partly cloudy,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-22 16:15:00,42.9,12,0.0,16.9,Sunny,10.0,2024,5,May
Kuwait,Kuwait City,29.37,47.96,2024-05-23 17:00:00,43.1,9,0.0,19.1,Mist,9.0,2024,5,May
Oman,Muscat,23.61,58.59,2024-05-23 18:00:00,41.0,23,0.0,9.0,Sunny,9.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-23 17:00:00,41.0,6,0.0,11.2,Sunny,9.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-23 16:00:00,43.0,7,0.0,15.8,Sunny,10.0,2024,5,May
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-24 14:30:00,41.0,16,0.0,10.4,Sunny,10.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-24 15:30:00,41.4,17,0.0,12.2,Sunny,10.0,2024,5,May
Niger,Niamey,13.52,2.12,2024-05-24 15:30:00,42.8,13,0.0,9.0,Sunny,10.0,2024,5,May
Saudi Arabia,Riyadh,24.64,46.77,2024-05-24 17:30:00,41.0,7,0.0,6.1,Sunny,10.0,2024,5,May
Sudan,Khartoum,15.59,32.53,2024-05-24 16:30:00,41.3,9,0.0,4.7,Overcast,9.0,2024,5,May
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-25 14:00:00,40.2,22,0.0,10.4,Sunny,10.0,2024,5,May
