country,location_name,latitude,longitude,last_updated,temperature_celsius,humidity,precip_mm,wind_kph,condition_text,uv_index,year,month,month_name
Afghanistan,Kabul,34.52,69.18,2024-05-16 13:15:00,26.6,24,0.0,13.3,Partly Cloudy,7.0,2024,5,May
Albania,Tirana,41.33,19.82,2024-05-16 10:45:00,19.0,94,0.1,11.2,Partly cloudy,5.0,2024,5,May
Algeria,Algiers,36.76,3.05,2024-05-16 09:45:00,23.0,29,0.0,15.1,Sunny,5.0,2024,5,May
Andorra,Andorra La Vella,42.5,1.52,2024-05-16 10:45:00,6.3,61,0.3,11.9,Light drizzle,2.0,2024,5,May
Angola,Luanda,-8.84,13.23,2024-05-16 09:45:00,26.0,89,0.0,13.0,Partly cloudy,8.0,2024,5,May
Antigua And Barbuda,Saint John's,17.12,-61.85,2024-05-16 04:45:00,26.0,84,0.02,9.0,Partly cloudy,1.0,2024,5,May
Argentina,Buenos Aires,-34.59,-58.67,2024-05-16 05:45:00,8.0,93,0.0,3.6,Clear,1.0,2024,5,May
Armenia,Yerevan,40.18,44.51,2024-05-16 12:45:00,19.0,40,0.13,6.8,Partly cloudy,4.0,2024,5,May
Australia,Canberra,-35.28,149.22,2024-05-16 18:45:00,9.0,87,0.0,4.0,Clear,1.0,2024,5,May
Austria,Vienna,48.2,16.37,2024-05-16 10:45:00,16.0,63,0.0,20.2,Partly cloudy,5.0,2024,5,May
Azerbaijan,Baku,40.4,49.88,2024-05-16 12:45:00,17.0,68,0.0,6.8,Partly cloudy,5.0,2024,5,May
Bahamas,Nassau,25.08,-77.35,2024-05-16 04:45:00,27.0,89,0.0,25.9,Partly cloudy,1.0,2024,5,May
Bahrain,Manama,26.24,50.58,2024-05-16 11:45:00,36.0,33,0.0,22.0,Sunny,8.0,2024,5,May
Bangladesh,Dhaka,23.72,90.41,2024-05-16 14:45:00,38.4,31,0.0,6.8,Partly Cloudy,9.0,2024,5,May
Barbados,Bridgetown,13.1,-59.62,2024-05-16 04:45:00,28.0,74,0.0,25.9,Partly cloudy,1.0,2024,5,May
Belarus,Minsk,53.9,27.57,2024-05-16 11:45:00,17.0,29,0.0,19.1,Sunny,4.0,2024,5,May
Belgium,Brussels,50.83,4.33,2024-05-16 10:45:00,15.0,94,0.25,6.1,Partly cloudy,3.0,2024,5,May
Belize,Belmopan,17.25,-88.77,2024-05-16 02:45:00,26.0,89,0.0,6.8,Overcast,1.0,2024,5,May
Benin,Porto-Novo,6.48,2.62,2024-05-16 09:45:00,28.0,79,0.02,24.1,Moderate or heavy rain with thunder,7.0,2024,5,May
Bhutan,Thimphu,27.48,89.6,2024-05-16 14:45:00,18.2,50,0.16,11.5,Patchy light rain in area with thunder,4.0,2024,5,May
Bolivia,Sucre,-19.04,-65.26,2024-05-16 04:45:00,12.3,77,0.0,3.6,Clear,1.0,2024,5,May
Bosnia And Herzegovina,Sarajevo,43.85,18.38,2024-05-16 10:45:00,19.0,64,0.0,3.6,Partly cloudy,5.0,2024,5,May
Botswana,Gaborone,-24.65,25.91,2024-05-16 10:45:00,22.0,43,0.0,6.8,Sunny,7.0,2024,5,May
Brazil,Bras,-2.08,-58.17,2024-05-16 04:45:00,23.1,98,0.04,4.0,Fog,1.0,2024,5,May
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2024-05-16 16:45:00,32.0,84,0.0,11.2,Patchy light rain with thunder,8.0,2024,5,May
Bulgaria,Sofia,42.68,23.32,2024-05-16 11:45:00,12.0,77,0.0,20.2,Overcast,3.0,2024,5,May
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-16 08:45:00,32.0,67,0.0,11.2,Moderate or heavy rain with thunder,8.0,2024,5,May
Burundi,Bujumbura,-3.38,29.36,2024-05-16 10:45:00,21.1,66,0.02,3.6,Patchy rain nearby,6.0,2024,5,May
Madagascar,Ivory,-24.37,46.45,2024-05-16 11:45:00,27.4,44,0.0,16.2,Sunny,8.0,2024,5,May
Cape Verde,Praia,14.93,-23.51,2024-05-16 07:45:00,22.0,69,0.0,15.1,Partly cloudy,6.0,2024,5,May
Cambodia,Phnom Penh,11.55,104.92,2024-05-16 15:45:00,38.0,45,0.0,11.2,Partly cloudy,9.0,2024,5,May
Cameroon,Yaounde,3.87,11.52,2024-05-16 09:45:00,25.0,78,0.0,3.6,Partly Cloudy,6.0,2024,5,May
Canada,Ottawa,45.42,-75.7,2024-05-16 04:45:00,12.0,71,0.0,15.1,Partly cloudy,1.0,2024,5,May
Central African Republic,Bangui,4.37,18.58,2024-05-16 09:45:00,28.4,60,0.0,7.6,Sunny,7.0,2024,5,May
Chad,N'djamena,12.11,15.05,2024-05-16 09:45:00,37.2,27,0.0,14.4,Sunny,9.0,2024,5,May
Chile,Santiago,-33.45,-70.67,2024-05-16 04:45:00,1.0,93,0.0,6.8,Clear,1.0,2024,5,May
China,Beijing,39.93,116.39,2024-05-16 16:45:00,29.0,22,0.0,15.1,Sunny,8.0,2024,5,May
Bulgaria,Bogot,43.32,24.7,2024-05-16 11:45:00,15.9,62,0.0,14.0,Overcast,4.0,2024,5,May
Comoros,Moroni,-11.7,43.24,2024-05-16 11:45:00,27.5,73,0.1,23.4,Patchy rain nearby,7.0,2024,5,May
Congo,Brazzaville,-4.26,15.28,2024-05-16 09:45:00,29.6,66,0.0,4.3,Sunny,8.0,2024,5,May
Costa Rica,San Juan,9.97,-84.08,2024-05-16 02:45:00,21.0,100,0.17,3.6,Fog,1.0,2024,5,May
Croatia,Zagreb,45.8,16.0,2024-05-16 10:45:00,16.0,82,0.0,15.1,Partly cloudy,3.0,2024,5,May
Cuba,Havana,23.13,-82.36,2024-05-16 04:45:00,26.0,84,0.0,6.8,Clear,1.0,2024,5,May
Cyprus,Nicosia,35.17,33.37,2024-05-16 11:45:00,25.0,39,0.0,9.0,Partly cloudy,7.0,2024,5,May
Czech Republic,Prague,50.08,14.47,2024-05-16 10:45:00,18.0,49,0.0,31.0,Sunny,4.0,2024,5,May
Democratic Republic Of Congo,Kinshasa,-4.3,15.3,2024-05-16 09:45:00,29.4,67,0.0,4.0,Sunny,8.0,2024,5,May
Denmark,Copenhagen,55.67,12.58,2024-05-16 10:45:00,16.0,55,0.0,31.0,Sunny,4.0,2024,5,May
Djibouti,Djibouti,11.6,43.15,2024-05-16 11:45:00,31.8,68,0.0,13.0,Sunny,8.0,2024,5,May
Dominica,Roseau,15.3,-61.4,2024-05-16 04:45:00,27.2,78,0.03,12.6,Patchy rain nearby,1.0,2024,5,May
Dominican Republic,Santo Domingo,18.47,-69.9,2024-05-16 04:45:00,23.0,94,0.0,13.0,Partly cloudy,1.0,2024,5,May
Ecuador,Quito,-0.22,-78.5,2024-05-16 03:45:00,11.9,92,0.03,4.3,Patchy rain nearby,1.0,2024,5,May
Egypt,Cairo,30.05,31.25,2024-05-16 11:45:00,27.0,32,0.0,15.1,Sunny,7.0,2024,5,May
El Salvador,San Salvador,13.71,-89.2,2024-05-16 02:45:00,26.0,94,0.3,3.6,Moderate or heavy rain with thunder,1.0,2024,5,May
Equatorial Guinea,Malabo,3.75,8.78,2024-05-16 09:45:00,30.0,89,0.2,6.1,Partly cloudy,6.0,2024,5,May
Eritrea,Asmara,15.33,38.93,2024-05-16 11:45:00,22.6,42,0.15,4.7,Patchy rain nearby,5.0,2024,5,May
Estonia,Tallinn,59.43,24.73,2024-05-16 11:45:00,19.0,43,0.0,22.0,Sunny,4.0,2024,5,May
Swaziland,Mbabane,-26.32,31.13,2024-05-16 10:45:00,22.2,39,0.0,6.1,Sunny,7.0,2024,5,May
Ethiopia,Addis Ababa,9.03,38.7,2024-05-16 11:45:00,22.3,48,0.05,10.8,Patchy rain nearby,5.0,2024,5,May
Fiji Islands,Suva,-18.13,178.42,2024-05-16 20:45:00,26.0,89,0.0,15.1,Light rain,1.0,2024,5,May
Finland,Helsinki,60.18,24.93,2024-05-16 11:45:00,22.0,33,0.0,24.1,Sunny,5.0,2024,5,May
France,Paris,48.87,2.33,2024-05-16 10:45:00,15.0,72,0.01,16.9,Partly cloudy,4.0,2024,5,May
Gabon,Libreville,0.38,9.45,2024-05-16 09:45:00,29.0,75,0.0,15.1,Partly cloudy,7.0,2024,5,May
Gambia,Banjul,13.45,-16.58,2024-05-16 08:45:00,23.0,83,0.0,16.9,Sunny,6.0,2024,5,May
Georgia,Tbilisi,41.73,44.79,2024-05-16 12:45:00,16.0,68,0.02,9.0,Overcast,3.0,2024,5,May
Germany,Berlin,52.52,13.4,2024-05-16 10:45:00,22.0,38,0.0,33.1,Sunny,6.0,2024,5,May
Ghana,Accra,5.55,-0.22,2024-05-16 08:45:00,29.0,84,0.0,9.0,Partly cloudy,7.0,2024,5,May
Greece,Athens,37.98,23.72,2024-05-16 11:45:00,23.0,38,0.0,3.6,Partly cloudy,6.0,2024,5,May
Grenada,Saint George's,12.05,-61.75,2024-05-16 04:45:00,28.0,79,0.06,22.0,Partly cloudy,1.0,2024,5,May
Guatemala,Guatemala City,14.62,-90.53,2024-05-16 02:45:00,20.0,88,0.09,22.0,Mist,1.0,2024,5,May
Guinea,Conakry,9.51,-13.71,2024-05-16 08:45:00,26.0,94,0.01,3.6,Overcast,6.0,2024,5,May
Guinea-Bissau,Bissau,11.85,-15.58,2024-05-16 08:45:00,24.0,89,0.0,6.1,Partly cloudy,7.0,2024,5,May
Guyana,Georgetown,6.8,-58.17,2024-05-16 04:45:00,24.0,100,0.08,3.6,Partly cloudy,1.0,2024,5,May
Haiti,Port-Au-Prince,18.54,-72.34,2024-05-16 04:45:00,21.0,88,0.0,4.0,Clear,1.0,2024,5,May
Vatican City,Vatican City,41.9,12.45,2024-05-16 10:45:00,24.0,57,0.0,3.6,Sunny,7.0,2024,5,May
Honduras,Tegucigalpa,14.1,-87.22,2024-05-16 02:45:00,23.0,78,0.28,6.1,Partly cloudy,1.0,2024,5,May
Hungary,Budapest,47.5,19.08,2024-05-16 10:45:00,20.0,43,0.0,29.9,Partly cloudy,4.0,2024,5,May
Iceland,Grindavik,63.83,-22.43,2024-05-16 08:45:00,7.0,93,0.29,15.1,Partly cloudy,2.0,2024,5,May
