country,temperature_celsius,precip_mm,humidity
Afghanistan,19.58272583201268,22.82,25.177496038034864
Albania,20.404912836767036,88.72,55.24881141045959
Algeria,21.385714285714286,29.32,62.25555555555555
Andorra,9.964342313787638,76.96,62.64500792393027
Angola,26.126782884310618,17.11,74.0919175911252
Antigua And Barbuda,26.54194577352472,73.06,78.77990430622009
Argentina,14.564705882352943,58.34,82.31637519872814
Armenia,17.838351822503963,25.28,42.50713153724247
Australia,14.45958795562599,65.17,65.87480190174327
Austria,13.437936507936508,48.73,67.16666666666667
Azerbaijan,19.56809523809524,19.28,60.07936507936508
Bahamas,24.88944,44.62,80.6304
Bahrain,30.58526148969889,1.1199999999999999,48.43423137876387
Bangladesh,30.774244833068362,189.68,48.3577106518283
Barbados,27.211146496815285,95.53,79.86464968152866
Belarus,10.45419968304279,55.230000000000004,72.02218700475436
Belgium,12.944102990033223,108.12,76.15614617940199
Belize,22.368370607028755,86.08,95.85143769968052
Benin,28.38301587301587,64.08,79.1126984126984
Bhutan,13.525119236883942,189.33,62.131955484896665
Bolivia,17.188188347964882,136.87,76.34557063048683
Bosnia And Herzegovina,13.880982567353406,102.2,69.19809825673534
Botswana,23.571790808240888,29.06,46.68304278922346
Brazil,24.3518341307815,112.77,81.80701754385964
Brunei Darussalam,29.225079365079363,329.32,77.67460317460318
Bulgaria,15.6797783933518,152.46,58.46260387811634
Burkina Faso,28.127460317460315,35.39,52.973015873015875
Burundi,26.203815580286168,120.94,59.710651828298886
Bélgica,17.4,0.12,63.0
Cambodia,31.215396825396827,99.58,64.74285714285715
Cameroon,25.492527821939586,155.35,67.57551669316375
Canada,5.6622611464968156,95.3,84.09554140127389
Cape Verde,24.387638668779715,8.84,71.90966719492869
Central African Republic,28.435079365079364,78.85,68.02063492063492
Chad,29.826465927099843,29.6,41.949286846275754
Chile,10.736146496815287,36.3,76.7515923566879
China,18.042857142857144,42.83,43.319047619047616
Colombia,13.5,0.02,80.0
Comoros,26.201430842607316,169.95,73.6120826709062
Congo,26.875555555555554,88.7,72.22539682539683
Costa Rica,19.827403846153846,72.11,84.15064102564102
Cote D'Ivoire,22.774117647058823,5.08,91.30588235294118
Croatia,14.958823529411765,64.77,68.25755166931637
Cuba,22.840829346092505,21.5,92.12599681020734
Cyprus,25.377777777777776,18.59,48.595238095238095
Czech Republic,11.70732484076433,49.07,71.01433121019109
Democratic Republic Of Congo,26.81050955414013,85.75,72.46496815286625
Denmark,11.641428571428571,59.54,76.02222222222223
Djibouti,31.865341812400636,16.080000000000002,54.05723370429253
Dominica,26.7390127388535,84.89,78.06528662420382
Dominican Republic,24.09872408293461,85.39,94.47527910685805
Ecuador,10.422044728434505,48.86,82.79552715654953
Egypt,26.310158730158733,0.33,42.32539682539682
El Salvador,23.72772435897436,154.75,88.20352564102564
Equatorial Guinea,27.201267828843108,225.78,85.9175911251981
Eritrea,21.478763866877973,72.51,44.54041204437401
Estonia,9.878888888888888,62.09,73.77301587301588
Estonie,23.3,0.0,61.0
Ethiopia,19.88105095541401,159.92,51.8312101910828
Fiji Islands,24.467194928684627,206.79,90.1917591125198
Finland,9.577496038034864,52.47,74.4136291600634
France,13.78015873015873,64.92999999999999,75.33968253968254
Gabon,27.01285714285714,125.2,82.61111111111111
Gambia,25.319395866454688,90.74000000000001,69.74880763116057
Georgia,18.027344992050875,25.830000000000002,53.76470588235294
Germany,12.61283676703645,41.99,70.09984152139461
Ghana,27.415689381933436,46.0,81.1188589540412
Greece,22.770653907496015,28.3,48.47049441786284
Grenada,27.20159489633174,102.01,82.8133971291866
Guatemala,17.173878205128204,53.49,90.92467948717949
Guinea,26.345873015873018,268.51,84.04761904761905
Guinea-Bissau,25.673692551505546,193.04,73.99207606973059
Guyana,24.65684713375796,292.49,94.64490445859873
Haiti,21.593301435406698,14.88,86.67942583732058
Honduras,19.11232,48.26,88.344
Hungary,14.524923076923079,36.1,63.62615384615385
Iceland,6.070793650793651,110.02,80.41904761904762
Inde,31.2,0.0,71.0
India,29.911446740858505,40.78,45.87281399046105
